metric,timestep,p,cliffs_delta
gene,96800,3.391821390825095e-06,1.0
gene,97200,3.391821390825095e-06,1.0
gene,97600,3.391821390825095e-06,1.0
gene,98000,5.052703540469845e-06,0.9822222222222222
gene,98400,5.052703540469845e-06,0.9822222222222222
gene,98800,4.143220097537536e-06,0.9911111111111112
gene,99200,5.052703540469845e-06,0.9822222222222222
gene,99600,4.143220097537536e-06,0.9911111111111112
gene,100000,5.052703540469845e-06,0.9822222222222222
gene,100400,5.052703540469845e-06,0.9822222222222222
gene,100800,6.151638741096579e-06,0.9733333333333334
gene,101200,7.477207640048691e-06,0.9644444444444444
gene,101600,6.151638741096579e-06,0.9733333333333334
gene,102000,7.477207640048691e-06,0.9644444444444444
gene,102400,7.477207640048691e-06,0.9644444444444444
gene,102800,9.073400856319234e-06,0.9555555555555556
gene,103200,6.151638741096579e-06,0.9733333333333334
gene,103600,5.052703540469845e-06,0.9822222222222222
gene,104000,5.052703540469845e-06,0.9822222222222222
gene,104400,6.151638741096579e-06,0.9733333333333334
gene,104800,5.052703540469845e-06,0.9822222222222222
gene,105200,7.477207640048691e-06,0.9644444444444444
gene,105600,6.151638741096579e-06,0.9733333333333334
gene,106000,6.151638741096579e-06,0.9733333333333334
gene,106400,6.151638741096579e-06,0.9733333333333334
gene,106800,6.151638741096579e-06,0.9733333333333334
gene,107200,7.477207640048691e-06,0.9644444444444444
gene,107600,6.151638741096579e-06,0.9733333333333334
gene,108000,6.151638741096579e-06,0.9733333333333334
gene,108400,6.151638741096579e-06,0.9733333333333334
gene,108800,3.391821390825095e-06,1.0
gene,109200,3.391821390825095e-06,1.0
gene,109600,4.143220097537536e-06,0.9911111111111112
gene,110000,5.052703540469845e-06,0.9822222222222222
gene,110400,5.052703540469845e-06,0.9822222222222222
gene,110800,4.143220097537536e-06,0.9911111111111112
gene,111200,6.151638741096579e-06,0.9733333333333334
gene,111600,6.151638741096579e-06,0.9733333333333334
gene,112000,7.477207640048691e-06,0.9644444444444444
gene,112400,7.477207640048691e-06,0.9644444444444444
gene,112800,9.073400856319234e-06,0.9555555555555556
gene,113200,1.3294722762606463e-05,0.9377777777777778
gene,113600,1.6053092802023668e-05,0.9288888888888889
gene,114000,1.0992164801504738e-05,0.9466666666666667
gene,114400,9.073400856319234e-06,0.9555555555555556
gene,114800,9.073400856319234e-06,0.9555555555555556
gene,115200,7.477207640048691e-06,0.9644444444444444
gene,115600,7.477207640048691e-06,0.9644444444444444
gene,116000,6.151638741096579e-06,0.9733333333333334
gene,116400,6.151638741096579e-06,0.9733333333333334
gene,116800,6.151638741096579e-06,0.9733333333333334
gene,117200,6.151638741096579e-06,0.9733333333333334
gene,117600,9.073400856319234e-06,0.9555555555555556
gene,118000,7.477207640048691e-06,0.9644444444444444
gene,118400,6.151638741096579e-06,0.9733333333333334
gene,118800,7.477207640048691e-06,0.9644444444444444
gene,119200,6.151638741096579e-06,0.9733333333333334
gene,119600,6.151638741096579e-06,0.9733333333333334
gene,120000,7.477207640048691e-06,0.9644444444444444
gene,120400,9.073400856319234e-06,0.9555555555555556
gene,120800,6.151638741096579e-06,0.9733333333333334
gene,121200,6.151638741096579e-06,0.9733333333333334
gene,121600,7.477207640048691e-06,0.9644444444444444
gene,122000,7.477207640048691e-06,0.9644444444444444
gene,122400,7.477207640048691e-06,0.9644444444444444
gene,122800,7.477207640048691e-06,0.9644444444444444
